Campaign,Ad Group,Ad type,Labels,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Final URL,Link Text,Description Line 1,Description Line 2,Callout text,Header,Snippet Values,Keyword
[DOMAIN] | [DATE],[AD_GROUP],Responsive search ad,Ad 1,[HEADLINE_1], -,[HEADLINE_2], -,[HEADLINE_3], -,[HEADLINE_4], -,[DESC_1], -,[DESC_2], -,[DESC_3], -,[DESC_4], -,,,https://[DOMAIN]/?service=[SERVICE_SLUG],,,,,,,
[DOMAIN] | [DATE],[AD_GROUP],Responsive search ad,Ad 2,{LOCATION(City):Local} [SHORT_SERVICE],1,Call Now - 60 Min Response,2,[HEADLINE_3], -,[HEADLINE_4], -,[DESC_1], -,[DESC_2], -,[DESC_3], -,[DESC_4], -,,,https://[DOMAIN]/?service=[SERVICE_SLUG],,,,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=[SERVICE_SLUG]&sl=1,60-Minute Response,Fast Emergency Service,We Come To You Now,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=[SERVICE_SLUG]&sl=2,Insurance Billing,We Bill Insurance Direct,Less Hassle For You,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=[SERVICE_SLUG]&sl=3,Certified Technicians,IICRC Certified Pros,Trained & Experienced,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=[SERVICE_SLUG]&sl=4,Why Choose Us,24/7 Emergency Service,Satisfaction Guaranteed,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=mold-remediation,Mold Remediation,Certified Mold Removal,Prevent Health Issues,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=fire-damage-restoration,Fire Damage Help,Fire & Smoke Restoration,Complete Recovery,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,https://[DOMAIN]/?service=water-damage-restoration,Water Damage Experts,Full Water Restoration,Extraction & Drying,,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,60-Min Response,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,24/7 Emergency,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,Insurance Billing,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,IICRC Certified,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,Free Inspection,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,Licensed & Insured,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,Local Experts,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,Satisfaction Guaranteed,,,
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,,Services,"[SNIPPET_1]
[SNIPPET_2]
[SNIPPET_3]
[SNIPPET_4]
[SNIPPET_5]
[SNIPPET_6]",
[DOMAIN] | [DATE],[AD_GROUP],,,,,,,,,,,,,,,,,,,,,,,,,,,,[KEYWORD]
